strain	date	S1_mutations	clade_membership	country	current_frequency	division	emerging_lineage	epiweek	genbank_accession	host	pango_lineage	recency	region	url	author	accession	originating_lab	submitting_lab	logistic_growth
Switzerland/FR-SNRCI-7972/2020	2020-03-14	1.00	20C	Switzerland		Fribourg		202011	FR993348	Homo sapiens	B.1.520	Older	Europe		? F				
COL/Cali-01/2020	2020-04-02	1.00	20C	Colombia		Colombia		202014	MT470219	Homo sapiens	B.1	Older	South America		Lopez et al				
MAR/RMPS06/2020	2020-04-01	1.00	20C	Morocco		Morocco		202014	MT731764	Homo sapiens	B.1	Older	Africa		Laamarti et al A				
Morocc0/RMPS6/2020	2020-04-01	1.00	20C	Morocco		Morocco		202014	MT733120	Homo sapiens	B.1	Older	Africa		Laamarti et al B				
USA/TX-DSHS-4999/2020	2020-07-03	1.00	20C	USA		Texas		202027	MW885934	Homo sapiens	B.1.576	Older	North America		Pokharel et al B				
USA/ME-HETL-J0093/2020	2020-03-21	1.00	20C	USA		Maine		202012	MT886378	Homo sapiens	B.1	Older	North America		Matluk et al		Maine Health and Environmental Testing Laboratory	The Jackson Laboratory	
USA/WY-QDX-1066/2020	2020-03-20	1.00	20C	USA		Wyoming		202012	MW065213	Homo sapiens	B.1	Older	North America		Rosenthal et al O		Quest Diagnostics	Quest Diagnostics	
TUN/TUN_ADAGE_EZ432/2020	2020-05-30	2.00	20C	Tunisia		Tunisia		202022	MT955169	Homo sapiens	B.1	Older	Africa		Souissi et al C				
USA/MA-MGH-01372/2020	2020-05-06	2.00	20C	USA		Massachusetts		202019	MT873201	Homo sapiens	B.1	Older	North America		Lemieux et al E		Massachusetts Department of Public Health		
NZL/20VR3112/2020	2020-05-08	1.00	20C	New Zealand		New Zealand		202019	MZ332415	Homo sapiens	B.1	Older	Oceania		Geoghegan et al M			Institute of Environmental Science and Research	
CHL/2020-31600/2020	2020-03-25	1.00	20C	Chile		Chile		202013	MT670022	Homo sapiens	B.1	Older	South America		Gaete et al A				
AUS/VIC885/2020	2020-04-06	1.00	20C	Australia		Victoria		202015	MT451620	Homo sapiens	B.1.520	Older	Oceania		Seemann et al N		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
NZL/20VR3007/2020	2020-03-27	1.00	20C	New Zealand		New Zealand		202013	MZ332369	Homo sapiens	B.1	Older	Oceania		Geoghegan et al N			Institute of Environmental Science and Research	
MAR/RMPS-05/2020	2020-03-30	1.00	20C	Morocco		Morocco		202014	MT731468	Homo sapiens	B.1	Older	Africa		Laamarti et al C				
GEO/Tb-27822/2020	2020-06-11	1.00	20C	Georgia		Georgia (Asia)		202024	MT834849	Homo sapiens	B.1	Older	Asia		Pantsulaia et al				
USA/NC-SLPH-0018/2020	2020-08-08	1.00	20C	USA		North Carolina		202032	MT997211	Homo sapiens	B.1	Older	North America		Chase et al C				
USA/WV118689/2020	2020-05-04	1.00	20C	USA		West Virginia		202019	MZ497588	Homo sapiens	B.1.520	Older	North America		Denvir et al E				
ISR/hCov-19-Israel-CVL-n-14266/2020	2020-10-15	1.00	20C	Israel		Israel		202042	MW674843	Homo sapiens	B.1	Older	Asia		Zuckerman et al C				
MLI/UCRC68/2020	2020-03-18	1.00	20A	Mali		Mali		202012	MW474739	Homo sapiens	B.1	Older	Africa		Diarra et al B				
MAR/RMPS04/2020	2020-03-30	1.00	20A	Morocco		Morocco		202014	MT731327	Homo sapiens	B.1	Older	Africa		Laamarti et al D				
TUN/COV1663/2020	2020-04-01	2.00	20A	Tunisia		Tunisia		202014	MT499218	Homo sapiens	B.1	Older	Africa		Fares et al B				
BEN/197/2020	2020-03-15	2.00	20A	Benin		Benin		202012	MT653071	Homo sapiens	B.1	Older	Africa		Sander et al D				
Switzerland/BS-UHB-42220361/2020	2020-04-04	1.00	20A	Switzerland		Basel-Stadt		202014	OU280746	Homo sapiens	B.1	Older	Europe		? G				
Estonia/Cov1504/2020	2020-10-16	3.00	20A	Estonia		Estonia		202042	OU278626	Homo sapiens	B.1.221	Older	Europe		Avi et al A				
OU026766	2021-03-02	2.00	20A	Poland		Slaskie		202109	OU026766	Homo sapiens	B.1.221	Older	Europe		? H				
Iceland/155/2020	2020-03-15	1.00	20A	Iceland		Iceland		202012	OU161638	Homo sapiens	B.1	Older	Europe		Jonsson et al B				
GIN/C2/2020	2020-05-13	1.00	20A	Guinea		Guinea		202020	MZ622025	Homo sapiens	B.1.1.317	Older	Africa		Krasnov et al A				
GIN/C1/2020	2020-05-14	1.00	20A	Guinea		Guinea		202020	MZ619091	Homo sapiens	B.1	Older	Africa		Krasnov et al B				
POL/PL_MCB_61/2020	2020-06-06	1.00	20A	Poland		Poland		202023	MW273843	Homo sapiens	B.1.213	Older	Europe		Kowalski et al B				
Feliscatus/BEL/BE-MG-0320/2020	2020-03-11	1.00	20A	Belgium		Belgium		202011	MT747438	Felis catus	B.1	Older	Europe		Garigliany et al				
LR963259	2020-06-09	1.00	20A	Switzerland		Bern		202024	LR963259	Homo sapiens	B.1	Older	Europe		Lebrand et al		Institute of Infectious Diseases,Friedbühlstrasse 51, Bern	EBI	
AUS/NT13/2020	2020-03-25	1.00	20A	Australia		Northern Territory		202013	MT641658	Homo sapiens	B.1	Older	Oceania		Caly et al AE		Royal Darwin Hospital Pathology	The Peter Doherty Institute for Infection and Immunity	
AUS/NT12/2020	2020-03-25	1.00	20A	Australia		Northern Territory		202013	MT641657	Homo sapiens	B.1	Older	Oceania		Caly et al AF		Royal Darwin Hospital Pathology	The Peter Doherty Institute for Infection and Immunity	
IND/GBRC439a/2020	2020-11-10	1.00	20A	India		Gujarat		202046	MW595916	Homo sapiens	B.1	Older	Asia		Pandya et al				
USA/NY-CDC-FG-041350/2021	2021-07-07	9.00	20A	USA	0.00	New York		202127	MZ729540	Homo sapiens	B.1.630	One month ago	North America		Howard et al AB				-7.40
USA/HI-CDC-IBX710076328480/2021	2021-03-26	4.00	21C (Epsilon)	USA		Hawaii	B.1.427/429 (Epsilon)	202112	MZ012900	Homo sapiens	B.1.429	Older	North America		Howard et al AC				
USA/WI-CDC-2-3880624/2021	2021-02-01	3.00	21C (Epsilon)	USA		Wisconsin	B.1.427/429 (Epsilon)	202105	MW709212	Homo sapiens	B.1.429	Older	North America		Queen et al K				
USA/CA-CDC-FG-024717/2021	2021-04-17	3.00	21C (Epsilon)	USA		California	B.1.427/429 (Epsilon)	202115	MZ183284	Homo sapiens	B.1.429	Older	North America		Howard et al AD				
USA/MT-CDC-2-4175327/2021	2021-03-25	3.00	21C (Epsilon)	USA		Montana	B.1.427/429 (Epsilon)	202112	MW989835	Homo sapiens	B.1.427	Older	North America		Sheth et al H				
USA/TX-CDC-ASC210044930/2021	2021-04-03	3.00	21C (Epsilon)	USA		Texas	B.1.427/429 (Epsilon)	202113	MZ349154	Homo sapiens	B.1.427	Older	North America		Howard et al AE				
USA/SC-CDC-STM-000005363/2021	2021-01-23	5.00	21C (Epsilon)	USA		South Carolina	B.1.427/429 (Epsilon)	202103	MW586344	Homo sapiens	B.1.427	Older	North America		Cook et al L				
USA/RI-CDCBI-RIDOH_01252/2021	2021-03-24	5.00	21C (Epsilon)	USA		Rhode Island	B.1.427/429 (Epsilon)	202112	MW915326	Homo sapiens	B.1.427	Older	North America		Lemieux et al F				
VEN/LaG1414/2021	2021-02-28	3.00	20A	Venezuela		Venezuela		202109	MZ611973	Homo sapiens	B.1.619.1	Older	South America		Pujol et al C				
SLE/SL34/2021	2021-06-07	7.00	21D (Eta)	Sierra Leone		Sierra Leone	B.1.525 (Eta)	202123	MZ854393	Homo sapiens	B.1.525	One week ago	Africa		Wurie et al B				
GHA/nmimr-SARS-CoV-2-TRA-21-13715/2021	2021-03-16	8.00	21D (Eta)	Ghana		Ghana	B.1.525 (Eta)	202111	MZ150527	Homo sapiens	B.1.525	Older	Africa		Adu et al A				
LBY/BTRCLibyaSARS-CoV-2WGS-17/2021	2021-02-25	6.00	21D (Eta)	Libya		Libya	B.1.525 (Eta)	202108	MZ054873	Homo sapiens	B.1.525	Older	Africa		Alhudiri et al A				
LBY/BTRCLibyaSARS-CoV-2WGS-34/2021	2021-02-25	7.00	21D (Eta)	Libya		Libya	B.1.525 (Eta)	202108	MZ054890	Homo sapiens	B.1.525	Older	Africa		Alhudiri et al B				
USA/MS-CDC-ASC210002921/2021	2021-03-06	8.00	21D (Eta)	USA		Mississippi	B.1.525 (Eta)	202109	MZ260175	Homo sapiens	B.1.525	Older	North America		Howard et al AF				
ITA/ABR-IZSGC-TE226367/2021	2021-04-20	7.00	21D (Eta)	Italy		Italy	B.1.525 (Eta)	202116	MZ362442	Homo sapiens	B.1.525	Older	Europe		Delli Compagni et al A				
ITA/ABR-IZSGC-TE274189/2021	2021-05-18	8.00	21D (Eta)	Italy		Italy	B.1.525 (Eta)	202120	MZ362451	Homo sapiens	B.1.525	Older	Europe		Delli Compagni et al B				
ITA/ABR-IZSGC-TE274161/2021	2021-05-18	7.00	21D (Eta)	Italy		Italy	B.1.525 (Eta)	202120	MZ362447	Homo sapiens	B.1.525	Older	Europe		Delli Compagni et al C				
ITA/ABR-IZSGC-TE248718/2021	2021-04-30	7.00	21D (Eta)	Italy		Italy	B.1.525 (Eta)	202117	MZ362443	Homo sapiens	B.1.525	Older	Europe		Delli Compagni et al D				
ITA/ABR-IZSGC-TE274169/2021	2021-05-18	7.00	21D (Eta)	Italy		Italy	B.1.525 (Eta)	202120	MZ362448	Homo sapiens	B.1.525	Older	Europe		Delli Compagni et al E				
ITA/ABR-IZSGC-TE274173/2021	2021-05-18	7.00	21D (Eta)	Italy		Italy	B.1.525 (Eta)	202120	MZ362449	Homo sapiens	B.1.525	Older	Europe		Delli Compagni et al F				
ITA/ABR-IZSGC-TE274143/2021	2021-05-18	7.00	21D (Eta)	Italy		Italy	B.1.525 (Eta)	202120	MZ362446	Homo sapiens	B.1.525	Older	Europe		Delli Compagni et al G				
ITA/ABR-IZSGC-TE274121/2021	2021-05-18	7.00	21D (Eta)	Italy		Italy	B.1.525 (Eta)	202120	MZ362445	Homo sapiens	B.1.525	Older	Europe		Delli Compagni et al H				
ITA/ABR-IZSGC-TE274182/2021	2021-05-18	7.00	21D (Eta)	Italy		Italy	B.1.525 (Eta)	202120	MZ362450	Homo sapiens	B.1.525	Older	Europe		Delli Compagni et al I				
ITA/ABR-IZSGC-TE273981/2021	2021-05-18	7.00	21D (Eta)	Italy		Italy	B.1.525 (Eta)	202120	MZ362444	Homo sapiens	B.1.525	Older	Europe		Delli Compagni et al J				
Belgium/42477217/2020	2020-10-09	2.00	20A	Belgium		Limburg BE		202041	OU280445	Homo sapiens	B.1	Older	Europe		? I				
CUB/USAFSAM-S030/2020	2020-03-19	1.00	20A	Cuba		Cuba		202012	MT873896	Homo sapiens	B.1.378	Older	North America		Fries et al C		United States Air Force School of Aerospace Medicine	United States Air Force School of Aerospace Medicine	
USA/IL-UW-137/2020	2020-04-09	1.00	20A	USA		Illinois		202015	MT706265	Homo sapiens	B.1.139	Older	North America		Moreno et al C		UWHC	UW-Madison	
USA/IL-UW-639/2020	2020-06-28	1.00	20A	USA		Illinois		202027	MT772416	Homo sapiens	B.1.139	Older	North America		Moreno et al D				
TUN/TUN-20202909/2020	2020-03-02	1.00	20A	Tunisia		Tunisia		202010	MW366724	Homo sapiens	B.1	Older	Africa		Boutiba-Ben Boubaker et al C				
AUS/NT17/2020	2020-03-24	1.00	20A	Australia		Northern Territory		202013	MT641661	Homo sapiens	B.1.8	Older	Oceania		Caly et al AG		Royal Darwin Hospital Pathology	The Peter Doherty Institute for Infection and Immunity	
AUS/NT16/2020	2020-03-24	1.00	20A	Australia		Northern Territory		202013	MT641660	Homo sapiens	B.1.8	Older	Oceania		Caly et al AH		Royal Darwin Hospital Pathology	The Peter Doherty Institute for Infection and Immunity	
NZL/20VR2006/2020	2020-04-01	1.00	20A	New Zealand		New Zealand		202014	MZ332134	Homo sapiens	B.1.8	Older	Oceania		Geoghegan et al O			Institute of Environmental Science and Research	
POL/PL_MCB_20/2020	2020-03-30	1.00	20A	Poland		Poland		202014	MW273802	Homo sapiens	B.1	Older	Europe		Kowalski et al C				
BGD/DNAS_isl_6840/2020	2020-05-18	1.00	20A	Bangladesh		Bangladesh		202021	MT676413	Homo sapiens	B.1	Older	Asia		Khan et al B				
SLE/KGH-G-8627/2020	2020-04-08	1.00	20A	Sierra Leone		Sierra Leone		202015	MT872495	Homo sapiens	B.1.379	Older	Africa		Goba et al B		Kenema Government Hospital	Kenema Government Hospital	
AUS/VIC1055/2020	2020-04-03	1.00	20A	Australia		Victoria		202014	MT451722	Homo sapiens	B.1	Older	Oceania		Seemann et al O		Microbiological Diagnostic Unit Public Health Laboratory	The Peter Doherty Institute for Infection and Immunity	
NZL/20VR1935/2020	2020-04-04	1.00	20A	New Zealand		New Zealand		202014	MZ332086	Homo sapiens	B.1	Older	Oceania		Geoghegan et al P			Institute of Environmental Science and Research	
IND/GBRC294/2020	2020-06-15	1.00	20A	India		Gujarat		202025	MT800045	Homo sapiens	B.1	Older	Asia		Raval et al A		GMERS Medical College and Hospital, Gotri, Vadodara	Gujarat Biotechnology Research Centre	
USA/MI-MDHHS-SC20559/2020	2020-05-01	1.00	20A	USA		Michigan		202018	MT585079	Homo sapiens	B.1	Older	North America		Blankenship et al B			Michigan Department of Health and Human Services	
IND/GMCKN318/2020	2020-03-11	1.00	20A	India		India		202011	MT415321	Homo sapiens	B.1	Older	Asia		Kammili et al				
England/ALDP-49E9CC/2020	2020-05-20	1.00	20A	United Kingdom		England		202021	OA981359	Homo sapiens	B.1	Older	Europe		Wynn et al A		Lighthouse Lab in Alderley Park	EBI	
IND/GBRC56a/2020	2020-05-03	1.00	20A	India		Gujarat		202019	MT496976	Homo sapiens	B.1	Older	Asia		Upadhyay et al				
NZL/20VR3491/2020	2020-04-23	1.00	20A	New Zealand		New Zealand		202017	MZ332497	Homo sapiens	B.1.91	Older	Oceania		Geoghegan et al Q			Institute of Environmental Science and Research	
NZL/20VR3476/2020	2020-06-22	1.00	20A	New Zealand		New Zealand		202026	MZ332489	Homo sapiens	B.1.91	Older	Oceania		Geoghegan et al R			Institute of Environmental Science and Research	
NZL/20VR3128/2020	2020-05-01	1.00	20A	New Zealand		New Zealand		202018	MZ332419	Homo sapiens	B.1.91	Older	Oceania		Geoghegan et al S			Institute of Environmental Science and Research	
NZL/20VR2533/2020	2020-03-27	1.00	20A	New Zealand		New Zealand		202013	MZ332259	Homo sapiens	B.1.545	Older	Oceania		Geoghegan et al T			Institute of Environmental Science and Research	
NZL/20VR2481/2020	2020-05-09	1.00	20A	New Zealand		New Zealand		202019	MZ332219	Homo sapiens	B.1.545	Older	Oceania		Geoghegan et al U			Institute of Environmental Science and Research	
NZL/20VR2548/2020	2020-05-07	1.00	20A	New Zealand		New Zealand		202019	MZ332272	Homo sapiens	B.1.545	Older	Oceania		Geoghegan et al V			Institute of Environmental Science and Research	
NZL/20VR2733/2020	2020-03-26	1.00	20A	New Zealand		New Zealand		202013	MZ332332	Homo sapiens	B.1.545	Older	Oceania		Geoghegan et al W			Institute of Environmental Science and Research	
NZL/20VR2929/2020	2020-05-08	1.00	20A	New Zealand		New Zealand		202019	MZ332341	Homo sapiens	B.1.545	Older	Oceania		Geoghegan et al X			Institute of Environmental Science and Research	
NZL/20VR2540/2020	2020-05-06	1.00	20A	New Zealand		New Zealand		202019	MZ332266	Homo sapiens	B.1.545	Older	Oceania		Geoghegan et al Y			Institute of Environmental Science and Research	
PER/covper020/2020	2020-07-03	1.00	20A	Peru		Peru		202027	MW030251	Homo sapiens	B.1.205	Older	South America		Juscamayta et al C				
LR992051	2020-07-20	1.00	20A	Italy		Apulia		202030	LR992051	Homo sapiens	B.1	Older	Europe		Chiara et al		Istituto Zooprofilattico Sperimentale Puglia e Basilicata; Dipartimento di Bioscienze, Biotecnologie e Biofarmaceutica dell’Università degli Studi di Bari “A.Moro”; Istituto di Biomembrane. Bioenergetica e Biotecnologie Molecolari del Consiglio Nazionale delle Ricerche di Bari	EBI	
AUS/VIC1313/2020	2020-04-10	1.00	20A	Australia		Victoria		202015	MT641741	Homo sapiens	B.1	Older	Oceania		Caly et al AI		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
LR992110	2020-04-06	1.00	20A	Italy		Apulia		202015	LR992110	Homo sapiens	B.1	Older	Europe		Chiara et al		Istituto Zooprofilattico Sperimentale Puglia e Basilicata; Dipartimento di Bioscienze, Biotecnologie e Biofarmaceutica dell’Università degli Studi di Bari “A.Moro”; Istituto di Biomembrane. Bioenergetica e Biotecnologie Molecolari del Consiglio Nazionale delle Ricerche di Bari	EBI	
RUS/SCPM-O-cDNA-02/2020	2020-03-22	1.00	20A	Russia		Moscow Oblast		202013	MT635445	Homo sapiens	B.1	Older	Europe		Dyatlov et al			SRCAMB	
KEN/C4717/2020	2020-05-06	1.00	20A	Kenya		Kenya		202019	MW751123	Homo sapiens	B.1	Older	Africa		Githinji et al C				
AUS/VIC460/2020	2020-03-26	1.00	20A	Australia		Victoria		202013	MT451325	Homo sapiens	B.1	Older	Oceania		Seemann et al P		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
KEN/C58/2020	2020-03-24	1.00	20A	Kenya		Kenya		202013	MW751127	Homo sapiens	B.1	Older	Africa		Githinji et al D				
KEN/C5011/2020	2020-05-07	2.00	20A	Kenya		Kenya		202019	MW751271	Homo sapiens	B.1	Older	Africa		Githinji et al E				
KEN/C25438/2020	2020-06-27	2.00	20A	Kenya		Kenya		202026	MW751395	Homo sapiens	B.1	Older	Africa		Githinji et al F				
USA/IL-UW-1190/2020	2020-08-04	1.00	20A	USA		Illinois		202032	MT981474	Homo sapiens	B.1.578	Older	North America		Moreno et al E				
KEN/C2738/2020	2020-04-26	1.00	20A	Kenya		Kenya		202018	MW751184	Homo sapiens	B.1.333	Older	Africa		Githinji et al G				
UGA/MAKCHScov4/2020	2020-11-16	1.00	20A	Uganda		Uganda		202047	MZ287358	Homo sapiens	B.1.393	Older	Africa		Mwesigwa et al F				
UGA/MAKCHScov7/2021	2021-02-19	2.00	20A	Uganda		Uganda		202107	MZ287361	Homo sapiens	B.1.393	Older	Africa		Mwesigwa et al G				
UGA/MAKCHScov8/2021	2021-02-19	3.00	20A	Uganda		Uganda		202107	MZ287370	Homo sapiens	B.1.258	Older	Africa		Mwesigwa et al H				
BRA/RJ-DCV05/2020	2020-07-20	1.00	20A	Brazil		Brazil		202030	MT827075	Homo sapiens	B.1	Older	South America		Souza et al C				
BRA/RJ-DCVN4/2020	2020-07-20	1.00	20A	Brazil		Brazil		202030	MT844030	Homo sapiens	B.1	Older	South America		Souza et al D				
BRA/RJ-DCV5/2020	2020-07-20	1.00	20A	Brazil		Brazil		202030	MT827940	Homo sapiens	B.1	Older	South America		Souza et al E				
BRA/RJ-DCVN3/2020	2020-07-20	1.00	20A	Brazil		Brazil		202030	MT835027	Homo sapiens	B.1	Older	South America		Souza et al F				
BRA/RJ-DCVTV507Q/2020	2020-07-20	1.00	20A	Brazil		Brazil		202030	MT827074	Homo sapiens	B.1	Older	South America		Souza et al G				
BRA/RJ-DCV1/2020	2020-07-20	1.00	20A	Brazil		Brazil		202030	MT827190	Homo sapiens	B.1	Older	South America		Souza et al H				
Switzerland/GE-HUG-34224911/2021	2021-05-19	10.00	20A	Switzerland		Geneva	B.1.620	202120	OU268317	Homo sapiens	B.1.620	Older	Europe		? J				
ITA/TE.237004/2020	2020-11-04	3.00	20E (EU1)	Italy		Italy		202045	MW398126	Homo sapiens	B.1.177	Older	Europe		Decaro et al				
TUN/TUN-202019695/2020	2020-07-12	2.00	20E (EU1)	Tunisia		Tunisia		202029	MW404673	Homo sapiens	B.1.177	Older	Africa		Boutiba-Ben Boubaker et al D				
TUN/TUN-202063686/2020	2020-12-01	2.00	20E (EU1)	Tunisia		Tunisia		202049	MW404672	Homo sapiens	B.1.177	Older	Africa		Boutiba-Ben Boubaker et al E				
TUN/TUN-20211267/2021	2021-01-06	2.00	20E (EU1)	Tunisia		Tunisia		202101	MW454130	Homo sapiens	B.1.177	Older	Africa		Boutiba-Ben Boubaker et al F				
TUN/TUN-20212285/2021	2021-01-08	2.00	20E (EU1)	Tunisia		Tunisia		202101	MW463452	Homo sapiens	B.1.177	Older	Africa		Boutiba-Ben Boubaker et al G				
ESP/HUD-79063196/2020	2020-08-08	2.00	20E (EU1)	Spain		Spain		202032	MT953880	Homo sapiens	B.1.177	Older	Europe		Cilla et al A				
ITA/Naples_FedericoII-04/2021	2021-02-15	4.00	20E (EU1)	Italy		Italy		202107	MZ054387	Homo sapiens	B.1.177.83	Older	Europe		Capoluongo et al				
Iceland/3867/2020	2020-09-18	2.00	20E (EU1)	Iceland		Iceland		202038	OU164870	Homo sapiens	B.1.177.45	Older	Europe		Jonsson et al C				
Iceland/5650/2020	2020-12-01	2.00	20E (EU1)	Iceland		Iceland		202049	OU167586	Homo sapiens	B.1.177.45	Older	Europe		Jonsson et al D				
England/ALDP-B5BDC8/2020	2020-11-09	2.00	20E (EU1)	United Kingdom		England		202046	OB996929	Homo sapiens	B.1.177	Older	Europe		Wynn et al A		Lighthouse Lab in Alderley Park	EBI	
OU369600	2021-01-22	2.00	20E (EU1)	Germany		Baden-Wuerttemberg		202103	OU369600	Homo sapiens	B.1.177	Older	Europe		? C				
TUN/TUN-202069681/2020	2020-12-24	4.00	20E (EU1)	Tunisia		Tunisia		202052	MW456917	Homo sapiens	B.1.177.6	Older	Africa		Boutiba-Ben Boubaker et al H				
England/CAMC-A65A5C/2020	2020-10-11	3.00	20E (EU1)	United Kingdom		England		202042	OB984507	Homo sapiens	B.1.177.7	Older	Europe		Howes et al		Lighthouse Lab in Cambridge	EBI	
England/MILK-C5171E/2020	2020-12-11	3.00	20E (EU1)	United Kingdom		England		202050	OD917176	Homo sapiens	B.1.177	Older	Europe		The Lighthouse Lab in Milton et al A		Lighthouse Lab in Milton Keynes	EBI	
SLE/SL29/2021	2021-06-03	5.00	20A	Sierra Leone		Sierra Leone		202122	MZ854388	Homo sapiens	B.1.629	One week ago	Africa		Wurie et al C				
SLE/SL37/2021	2021-06-07	5.00	20A	Sierra Leone		Sierra Leone		202123	MZ854396	Homo sapiens	B.1.629	One week ago	Africa		Wurie et al D				
IND/hospital_3_210/2021	2021-04-28	6.00	21B (Kappa)	India		India	B.1.617.1 (Kappa)	202117	MZ724501	Homo sapiens	B.1.617.1	One month ago	Asia		Kemp et al A				
MAR/CNRST-IND2-2021/2021	2021-04-22	6.00	21B (Kappa)	Morocco		Morocco	B.1.617.1 (Kappa)	202116	MZ571142	Homo sapiens	B.1.617.1	Older	Africa		melloul et al				
BHR/840056620/2021	2021-04-10	6.00	21B (Kappa)	Bahrain		Bahrain	B.1.617.1 (Kappa)	202114	MW965622	Homo sapiens	B.1.617.1	Older	Asia		Alwasti et al C				
MMR/DSMRC021/2021	2021-05-26	7.00	21B (Kappa)	Myanmar		Myanmar	B.1.617.1 (Kappa)	202121	MZ397177	Homo sapiens	B.1.617.1	Older	Asia		Oo et al B				
MMR/DSMRC013/2021	2021-05-28	7.00	21B (Kappa)	Myanmar		Myanmar	B.1.617.1 (Kappa)	202121	MZ397173	Homo sapiens	B.1.617.1	Older	Asia		Oo et al C				
MMR/DSMRC020/2021	2021-06-02	7.00	21B (Kappa)	Myanmar		Myanmar	B.1.617.1 (Kappa)	202122	MZ397176	Homo sapiens	B.1.617.1	Older	Asia		Oo et al D				
MMR/DSMRC019/2021	2021-06-02	7.00	21B (Kappa)	Myanmar		Myanmar	B.1.617.1 (Kappa)	202122	MZ397175	Homo sapiens	B.1.617.1	Older	Asia		Oo et al E				
England/RAND-154C097/2021	2021-04-27	8.00	21A (Delta)	United Kingdom		England	B.1.617.2 (Delta)	202117	OU269631	Homo sapiens	B.1.617.2	Older	Europe		Randox et al				
BHR/921007640_S108_L001/2021	2021-06-02	8.00	21A (Delta)	Bahrain		Bahrain	B.1.617.2 (Delta)	202122	MZ396561	Homo sapiens	B.1.617.2	Older	Asia		Alwasti et al D				
USA/CA-CDC-LC0091392/2021	2021-06-28	8.00	21A (Delta)	USA	0.00	California	B.1.617.2 (Delta)	202126	MZ592316	Homo sapiens	B.1.617.2	Older	North America		Howard et al AG				
USA/DE-CDC-LC0070510/2021	2021-06-04	9.00	21A (Delta)	USA		Delaware	B.1.617.2 (Delta)	202122	MZ412383	Homo sapiens	B.1.617.2	Older	North America		Howard et al AH				
Switzerland/ZH-UZH-IMV-3ba4ca1c/2021	2021-07-15	8.00	21A (Delta)	Switzerland	0.00	Zürich	B.1.617.2 (Delta)	202128	OU574230	Homo sapiens	B.1.617.2	3-7 days ago	Europe		? K				
BGD/IEDCR-JS002/2021	2021-04-28	8.00	21A (Delta)	Bangladesh		Khulna	B.1.617.2 (Delta)	202117	MZ413599	Homo sapiens	AY.10	Older	Asia		Afrad et al L				
BGD/IEDCR-AFIP-003/2021	2021-04-29	8.00	21A (Delta)	Bangladesh		Dhaka	B.1.617.2 (Delta)	202117	MZ413601	Homo sapiens	AY.10	Older	Asia		Afrad et al M				
BGD/IEDCR-OIS-234/2021	2021-06-16	7.00	21A (Delta)	Bangladesh	0.00	Sylhet	B.1.617.2 (Delta)	202124	MZ470848	Homo sapiens	AY.10	Older	Asia		Afrad et al N				-2.84
IND/GBRC793b/2021	2021-04-29	7.00	21A (Delta)	India		India	B.1.617.2 (Delta)	202117	MZ410769	Homo sapiens	B.1.617.2	Older	Asia		Patel et al C				
BGD/IEDCR-OIS-0269/2021	2021-06-20	7.00	21A (Delta)	Bangladesh	0.00	Rangpur	B.1.617.2 (Delta)	202125	MZ481925	Homo sapiens	AY.10	Older	Asia		Afrad et al O				-14.23
UZB/UZB-390/2021	2021-06-25	8.00	21A (Delta)	Uzbekistan	0.00	Tashkent	B.1.617.2 (Delta)	202125	MZ573386	Homo sapiens	B.1.617.2	Older	Asia		Abdullaev et al A				-14.23
IND/GBRC739b/2021	2021-04-27	7.00	21A (Delta)	India		India	B.1.617.2 (Delta)	202117	MZ363890	Homo sapiens	B.1.617.2	Older	Asia		Sharma et al A				
BGD/IEDCR-OIS-129/2021	2021-05-27	5.00	21A (Delta)	Bangladesh		Rangpur	B.1.617.2 (Delta)	202121	MZ401459	Homo sapiens	B.1.617.2	Older	Asia		Afrad et al P				
BGD/IEDCR-OIS-0270/2021	2021-06-20	7.00	21A (Delta)	Bangladesh	0.00	Rangpur	B.1.617.2 (Delta)	202125	MZ481926	Homo sapiens	AY.10	Older	Asia		Afrad et al Q				-14.05
IND/CWS_0076_58881258/2021	2021-06-23	5.00	21A (Delta)	India	0.00	India	B.1.617.2 (Delta)	202125	MZ558155	Homo sapiens	B.1.617.2	Older	Asia		Prakash et al A				-14.05
IND/GBRC1246/2021	2021-05-12	7.00	21A (Delta)	India		India	B.1.617.2 (Delta)	202119	MZ702640	Homo sapiens	B.1.617.2	One month ago	Asia		Sharma et al B				
IND/GBRC830/2021	2021-05-06	7.00	21A (Delta)	India		India	B.1.617.2 (Delta)	202118	MZ413378	Homo sapiens	B.1.617.2	Older	Asia		Patel et al D				
IND/GBRC1261/2021	2021-04-28	7.00	21A (Delta)	India		India	B.1.617.2 (Delta)	202117	MZ702715	Homo sapiens	B.1.617.2	One month ago	Asia		Soni et al B				
IND/INSACOG-GBRC929/2021	2021-05-17	7.00	21A (Delta)	India		India	B.1.617.2 (Delta)	202120	MZ900917	Homo sapiens	B.1.617.2	3-7 days ago	Asia		Sharma et al C				
