Author	n (strains)	publication title	journal	publication URL	strains
Son Nguyen et al	67	unknown	unknown	unknown	Australia/QLD1340/2020,Australia/QLD992/2020,Australia/QLD1525/2021,Australia/QLD1772/2021,Australia/QLD1526/2021,Australia/QLD1532/2021,Australia/QLD1293/2020,Australia/QLD1155/2020,Australia/QLD1877/2021,Australia/QLD1770/2021,Australia/QLD1542/2021,Australia/QLD1826/2021,Australia/QLD1876/2021,Australia/QLD1458/2020,Australia/QLD1284/2020,Australia/QLD1161/2020,Australia/QLD971/2020,Australia/QLD970/2020,Australia/QLD1459/2020,Australia/QLD1550/2021,Australia/QLD1766/2021,Australia/QLD1825/2021,Australia/QLD1857/2021,Australia/QLD1884/2021,Australia/QLD1665/2021,Australia/QLD1845/2021,Australia/QLD1666/2021,Australia/QLD1887/2021,Australia/QLD1879/2021,Australia/QLD1848/2021,Australia/QLD1807/2021,Australia/QLD1840/2021,Australia/QLD1538/2021,Australia/QLD1336/2020,Australia/QLD1531/2021,Australia/QLD1474/2020,Australia/QLD1118/2020,Australia/QLD1094/2020,Australia/QLD1611/2021,Australia/QLD1881/2021,Australia/QLD1880/2021,Australia/QLD1527/2021,Australia/QLD1540/2021,Australia/QLD1872/2021,Australia/QLD958/2020,Australia/QLD1342/2020,Australia/QLD957/2020,Australia/QLD1052/2020,Australia/QLD959/2020,Australia/QLD1141/2020,Australia/QLD1612/2021,Australia/QLD1617/2021,Australia/QLD1818/2021,Australia/QLD1875/2021,Australia/QLD1545/2021,Australia/QLD1534/2021,Australia/QLD1496/2021,Australia/QLD1539/2021,Australia/QLD1548/2021,Australia/QLD1814/2021,Australia/QLD1551/2021,Australia/QLD1804/2021,Australia/QLD1781/2021,Australia/QLD1852/2021,Australia/QLD1821/2021,Australia/QLD1822/2021,Australia/QLD1499/2021
Tze Minn Mak et al	29	unknown	unknown	unknown	PapuaNewGuinea/10/2020,PapuaNewGuinea/9/2020,PapuaNewGuinea/7/2020,PapuaNewGuinea/40/2020,PapuaNewGuinea/12/2021,PapuaNewGuinea/49/2020,PapuaNewGuinea/52/2020,PapuaNewGuinea/53/2020,Singapore/402/2021,Singapore/233/2021,Singapore/89/2021,Singapore/36/2021,Singapore/1066/2020,Singapore/1400/2020,Singapore/50/2021,Singapore/103/2021,Singapore/184/2021,PapuaNewGuinea/5/2021,Singapore/572/2021,Singapore/311/2021,Singapore/383/2021,Singapore/1118/2020,Singapore/1034/2020,Brunei/1/2021,Brunei/2/2021,Singapore/1519/2020,Singapore/440/2021,Singapore/143/2021,Singapore/647/2021
Palou et al	22	unknown	unknown	unknown	PapuaNewGuinea/PNG238/2021,PapuaNewGuinea/PNG226/2021,PapuaNewGuinea/PNG085/2021,PapuaNewGuinea/PNG087/2021,PapuaNewGuinea/PNG091/2021,PapuaNewGuinea/PNG186/2021,PapuaNewGuinea/PNG504/2021,PapuaNewGuinea/PNG188/2021,PapuaNewGuinea/PNG432/2021,PapuaNewGuinea/PNG508/2021,PapuaNewGuinea/PNG240/2021,PapuaNewGuinea/PNG211/2021,PapuaNewGuinea/PNG220/2021,PapuaNewGuinea/PNG473/2021,PapuaNewGuinea/PNG086/2021,PapuaNewGuinea/PNG216/2021,PapuaNewGuinea/PNG116/2021,PapuaNewGuinea/PNG151/2021,PapuaNewGuinea/PNG090/2021,PapuaNewGuinea/PNG181/2021,PapuaNewGuinea/PNG124/2021,PapuaNewGuinea/PNG128/2021
Gao et al	1	unknown	unknown	unknown	Zhejiang/CN2/2020
Krista Queen et al	28	unknown	unknown	unknown	USA/TX1/2020,USA/VI-CDC-3638/2020,Guam/GU-CDC-2-3847101/2021,USA/PA-CDC-2-3922872/2021,Guam/GU-CDC-2-3906185/2020,NorthernMarianaIslands/CDC-2-3831101/2020,Guam/GU-CDC-2-3906073/2021,Guam/GU-CDC-2-3847014/2021,Guam/GU-CDC-2-3847147/2020,USA/IA-CDC-2-4069008/2021,USA/AR-CDC-2-3846004/2021,NorthernMarianaIslands/CDC-2-3831005/2020,USA/AK-CDC-2-3845907/2021,USA/IA-CDC-2-3714371/2020,USA/SD-CDC-2-3880603/2021,USA/NE-CDC-2-3851611/2021,USA/MT-CDC-2-3851631/2021,USA/MT-CDC-2-3878560/2021,USA/NE-CDC-2-3851602/2021,NorthernMarianaIslands/CDC-2-3880447/2021,Guam/GU-CDC-2-3906096/2021,Guam/GU-CDC-2-3906198/2021,Guam/GU-CDC-2-3906254/2021,Guam/GU-CDC-2-3906075/2021,USA/MT-CDC-2-3935716/2021,USA/NV-CDC-2-3975889/2021,Guam/GU-CDC-2-3906192/2021,NorthernMarianaIslands/CDC-2-3831035/2020
Tsuyoshi Sekizuka et al C	27	unknown	unknown	unknown	Japan/TY-WK-501/2020,Japan/IC-1261/2021,Japan/IC-1186/2021,Japan/IC-1196/2021,Japan/PG-29244/2021,Japan/PG-29444/2021,Japan/PG-32763/2021,Japan/PG-35455/2021,Japan/PG-36210/2021,Japan/PG-27694/2021,Japan/PG-32322/2021,Japan/PG-2711/2020,Japan/PG-1890/2020,Japan/PG-5121/2020,Japan/PG-12862/2020,Japan/PG-13853/2020,Japan/PG-16356/2020,Japan/PG-26485/2021,Japan/PG-31316/2021,Japan/PG-23365/2021,Japan/PG-27214/2021,Japan/PG-32756/2021,Japan/PG-27016/2021,Japan/IC-1197/2021,Japan/IC-0947/2021,Japan/PG-35178/2021,Japan/IC-1193/2021
Chu et al	1	Cryptic transmission of SARS-CoV-2 in Washington State	unknown	https://doi.dx.org/10.1101/2020.04.02.20051417	USA/WA-S10/2020
Deborah A. Nickerson et al	4	unknown	unknown	unknown	USA/WA-S1346/2020,USA/WA-S5020/2020,USA/WA-S2798/2020,USA/WA-S2979/2020
Danilo Franco et al	3	Early transmission dynamics, spread, and genomic characterization of SARS-CoV-2 in Panama.	unknown	https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1	Panama/332252/2020,Panama/335903/2020,Panama/331580/2020
Yan Li et al A	1	First 12 patients with coronavirus disease 2019 (COVID-19) in the United States	unknown	https://dx.doi.org/10.1101/2020.03.09.20032896	USA/IL2/2020
Flores et al	3	unknown	unknown	unknown	USA/SC-DHEC-0008/2020,USA/SC-DHEC-1148/2020,USA/SC-DHEC-0392/2021
Haley V. Flores et al	1	unknown	unknown	unknown	USA/SC-DHEC-0031/2020
Ramon Lorenzo-Redondo et al A	1	A Unique Clade of SARS-CoV-2 Viruses is Associated with Lower Viral Loads in Patient Upper Airways	unknown	https://dx.doi.org/10.1101/2020.05.19.20107144	USA/IL-NM069/2020
Anthony Fries et al	11	unknown	unknown	unknown	USA/AR-USAFSAM-S100/2020,USA/RI-USAFSAM-S385/2020,USA/OH-USAFSAM-S151/2020,USA/ND-USAFSAM-S287/2020,USA/OH-USAFSAM-S0059/2021,USA/SC-USAFSAM-S504/2020,USA/NE-USAFSAM-S538/2020,USA/OK-USAFSAM-S0413/2021,USA/SD-USAFSAM-S324/2020,USA/MS-USAFSAM-S1265/2021,USA/MS-USAFSAM-S1374/2021
S. Wesley Long et al A	1	Molecular Architecture of Early Dissemination and Evolution of the SARS-CoV-2 Virus in Metropolitan Houston, Texas	unknown	https://dx.doi.org/10.1101/2020.05.01.072652	USA/TX-HMH0150/2020
Authors from IBT et al	22	unknown	unknown	unknown	Mexico/ZAC-InDRE-IBT-49/2020,Mexico/QUE-InDRE-IBT-54/2020,Mexico/HID-IBT-IMSS-506/2020,Mexico/CHH-InDRE-IBT-104/2020,Mexico/JAL-InDRE-IBT-142/2020,Mexico/GRO-InDRE-IBT-107/2020,Mexico/BCS-InDRE-IBT-58/2020,Mexico/DUR-InDRE-IBT-109/2020,Mexico/YUC-InDRE-IBT-64/2020,Mexico/ROO-InDRE-IBT-10/2020,Mexico/TLA-InDRE-IBT-71/2020,Mexico/TLA-IBT-IMSS-440/2020,Mexico/CHH-InDRE-IBT-89/2020,Mexico/BCN-InDRE-IBT-5/2020,Mexico/CMX-INER-IBT-168/2020,Mexico/PUE-InDRE-IBT-171/2020,Mexico/MEX-IBT-IMSS-551/2021,Mexico/SLP-IBT-IMSS-560/2021,Mexico/PUE-IBT-IMSS-577/2021,Mexico/SLP-IBT-IMSS-580/2021,Mexico/MEX-IBT-IMSS-545/2021,Mexico/PUE-IBT-IMSS-576/2021
Kuo-Chien Tsao et al	8	unknown	unknown	unknown	Taiwan/CGMH-CGU-29/2020,Taiwan/CGMH-CGU-30/2020,Taiwan/CGMH-CGU-36/2020,Taiwan/CGMH-CGU-50/2021,Taiwan/CGMH-CGU-49/2021,Taiwan/CGMH-CGU-48/2021,Taiwan/CGMH-CGU-31/2020,Taiwan/CGMH-CGU-44/2020
Cooley L. et al	3	unknown	unknown	unknown	Australia/TAS240/2020,Australia/TAS242/2020,Australia/TAS00279/2020
Ashley Jones et al	12	unknown	unknown	unknown	Australia/ACT0075/2020,Australia/ACT0100/2021,Australia/ACT0084/2020,Australia/ACT0051/2020,Australia/ACT0098/2021,Australia/ACT0096/2021,Australia/ACT0095/2021,Australia/ACT0097/2021,Australia/ACT0099/2021,Australia/ACT0090/2020,Australia/ACT0087/2020,Australia/ACT0089/2020
Silvia Hernáez Crespo et al	1	unknown	unknown	unknown	Spain/PV-IBV-000692/2020
Abdaliyev Askar et al	5	unknown	unknown	unknown	Kazakhstan/7263/2020,Kazakhstan/3352/2021,Kazakhstan/418/2020,Kazakhstan/11517/2021,Kazakhstan/7827-2/2021
Carlos Cortes et al	5	unknown	unknown	unknown	EquatorialGuinea/253/2020,EquatorialGuinea/5242/2020,EquatorialGuinea/7432/2020,EquatorialGuinea/50236/2020,EquatorialGuinea/47665/2020
Maria Alma Bracho et al	1	unknown	unknown	unknown	Spain/VC-FISABIO-4/2020
Yamilka Diaz et al	5	unknown	unknown	unknown	Panama/GMI-PA345365/2020,Panama/GMI-PA370373/2020,Panama/GMI-PA369048/2020,Panama/GMI-PA572717/2020,Panama/GMI-PA414763/2020
Francisco Duarte et al	32	unknown	unknown	unknown	CostaRica/INC-0414/2021,CostaRica/INC-0517/2021,CostaRica/INC-0255/2021,CostaRica/INC-0272/2021,CostaRica/INC-0342/2021,CostaRica/INC-0521/2021,CostaRica/INC-0433/2021,CostaRica/INC-0425/2021,CostaRica/INC-0290/2021,CostaRica/INC-0080/2020,CostaRica/INC-0079/2020,CostaRica/INC-0289/2021,CostaRica/INC-0434/2021,CostaRica/INC-0062/2020,CostaRica/INC-0101/2020,CostaRica/INC-0530/2021,CostaRica/INC-0475/2021,CostaRica/INC-0524/2021,CostaRica/INC-0277/2021,CostaRica/INC-0288/2021,CostaRica/INC-0286/2021,CostaRica/INC-0544/2021,CostaRica/INC-0118/2020,CostaRica/INC-0183/2020,CostaRica/INC-0208/2020,CostaRica/INC-0180/2020,CostaRica/INC-0268/2021,CostaRica/INC-0163/2020,CostaRica/INC-0253/2021,CostaRica/INC-0212/2021,CostaRica/INC-0550/2021,CostaRica/INC-0500/2021
Gonzalez Claudia et al	23	unknown	unknown	unknown	Panama/GMI-PA911/2020,Panama/GMI-PA707345/2021,Panama/GMI-PA712608/2021,Panama/GMI-PA658891/2021,Panama/GMI-PA672277/2021,Panama/GMI-PA678605/2021,Panama/GMI-PA694051/2021,Panama/GMI-PA706938/2021,Panama/GMI-PA712609/2021,Panama/GMI-PA705336/2021,Panama/GMI-PA642046/2021,Panama/GMI-PA683963/2021,Panama/GMI-PA696305/2021,Panama/GMI-PA676434/2021,Panama/GMI-PA677127/2021,Panama/GMI-PA679786/2021,Panama/GMI-PA694971/2021,Panama/GMI-PA706928/2021,Panama/GMI-PA677161/2021,Panama/GMI-PA689987/2021,Panama/GMI-PA611151/2020,Panama/GMI-PA670421/2021,Panama/GMI-PA2483/2020
Pérez-Corrales C et al	4	unknown	unknown	unknown	CostaRica/HNN-0404/2021,CostaRica/HNN-0470/2021,CostaRica/HNN-0567/2021,CostaRica/HNN-0407/2021
Díaz Y et al	1	unknown	unknown	unknown	Panama/GMI-PA584303/2020
Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	50	unknown	unknown	unknown	Mexico/TAB_INER_IMSS_00805/2021,Mexico/CAM_INER_IMSS_00422/2021,Mexico/ZAC-INER-IMSS-00093/2021,Mexico/ROO_INER_IMSS_00778/2021,Mexico/HID-IBT-IMSS-722/2021,Mexico/CHH-INER-IMSS-00261/2021,Mexico/AGU_INER_IMSS_00598/2021,Mexico/TAM_INER_IMSS_00418/2021,Mexico/CAM-INER-IMSS-00369/2021,Mexico/DUR_INER_IMSS_00718/2021,Mexico/MIC_INER_IMSS_00855/2021,Mexico/ZAC-INER-IMSS-00085/2021,Mexico/GRO_INER_IMSS_00624/2021,Mexico/OAX-IBT-IMSS-170/2021,Mexico/CHP-IBT-IMSS-119/2021,Mexico/TLA_INER_IMSS_00587/2021,Mexico/MEX_INER_IMSS_00631/2021,Mexico/BCS-IBT-IMSS-644/2021,Mexico/SLP-IBT-IMSS-77/2021,Mexico/TLA-IBT-IMSS-253/2021,Mexico/TLA-IBT-IMSS-34/2021,Mexico/YUC_INER_IMSS_00773/2021,Mexico/TLA-IBT-IMSS-137/2021,Mexico/OAX_INER_IMSS_00994/2021,Mexico/CAM-INER-IMSS-00368/2021,Mexico/OAX_INER_IMSS_00987/2021,Mexico/GRO-IBT-IMSS-411/2021,Mexico/BCS-IBT-IMSS-109/2021,Mexico/BCS-IBT-IMSS-726/2021,Mexico/SLP-IBT-IMSS-918/2021,Mexico/AGU_INER_IMSS_00882/2021,Mexico/GRO-IBT-IMSS-193/2021,Mexico/TAB_INER_IMSS_00426/2021,Mexico/GUA_INER_IMSS_00864/2021,Mexico/DUR_INER_IMSS_00737/2021,Mexico/YUC_INER_IMSS_00443/2021,Mexico/MEX_INER_IMSS_00694/2021,Mexico/AGU_INER_IMSS_00635/2021,Mexico/MEX-IBT-IMSS-214/2021,Mexico/JAL_INER_IMSS_00488/2021,Mexico/NAY_INER_IMSS_00827/2021,Mexico/VER-INER-IMSS-00286/2021,Mexico/OAX-IBT-IMSS-949/2021,Mexico/VER-IBT-IMSS-599/2021,Mexico/NAY_INER_IMSS_00850/2021,Mexico/VER-IBT-IMSS-117/2021,Mexico/ROO_INER_IMSS_00787/2021,Mexico/NAY_INER_IMSS_00807/2021,Mexico/JAL_INER_IMSS_00843/2021,Mexico/NLE_INER_IMSS_00746/2021
Dakota Howard et al	96	unknown	unknown	unknown	USA/GA-CDC-ASC210059029/2021,USA/PA-CDC-STM-000045634/2021,USA/OK-CDC-ASC210003038/2021,USA/IA-CDC-ASC210005458/2021,USA/NE-CDC-ASC210000509/2021,USA/VT-CDC-QDX24520507/2021,USA/WV-CDC-LC0034644/2021,USA/RI-CDC-ASC210057791/2021,USA/NJ-CDC-ASC210068101/2021,USA/GA-CDC-STM-000062141/2021,USA/AL-CDC-ASC210059554/2021,USA/NH-CDC-LC0032305/2021,USA/WV-CDC-LC0054006/2021,USA/TN-CDC-ASC210033920/2021,USA/DE-CDC-LC0043066/2021,USA/NJ-CDC-ASC210060839/2021,USA/NJ-CDC-ASC210059425/2021,USA/NC-CDC-LC0054188/2021,USA/DE-CDC-IBX676658223696/2021,USA/ME-CDC-ASC210037480/2021,USA/CA-CDC-FG-014338/2021,USA/AZ-CDC-STM-000059440/2021,USA/FL-CDC-LC0037037/2021,USA/IL-CDC-STM-000048320/2021,USA/VT-CDC-ASC210030959/2021,USA/OR-CDC-LC0056183/2021,USA/NJ-CDC-QDX23954448/2021,USA/MI-CDC-QDX23614106/2021,USA/NH-CDC-LC0041310/2021,USA/MS-CDC-ASC210056158/2021,USA/NM-CDC-ASC210058696/2021,USA/MO-CDC-ASC210020860/2021,USA/NC-CDC-ASC210036604/2021,USA/WV-CDC-LC0045428/2021,USA/TN-CDC-LC0055129/2021,USA/MD-CDC-ASC210037189/2021,USA/LA-CDC-LC0044548/2021,USA/CA-CDC-ASC210058048/2021,USA/FL-CDC-STM-000067785/2021,USA/NJ-CDC-IBX046676022124/2021,USA/UT-CDC-LC0052494/2021,USA/NM-CDC-LC0052604/2021,USA/IL-CDC-ASC210055482/2021,USA/SD-CDC-LC0039633/2021,USA/GA-CDC-FG-024539/2021,USA/TX-CDC-STM-000067059/2021,USA/MN-CDC-ASC210030260/2021,USA/IN-CDC-LC0056498/2021,USA/MA-CDC-QDX23173943/2021,USA/AL-CDC-LC0037059/2021,USA/CA-CDC-FG-032613/2021,USA/KY-CDC-LC0046253/2021,USA/IA-CDC-ASC210014086/2021,USA/MI-CDC-QDX22907920/2021,USA/MI-CDC-STM-000067524/2021,USA/CA-CDC-FG-030070/2021,USA/NJ-CDC-ASC210058091/2021,USA/SC-CDC-LC0054133/2021,USA/WY-CDC-IBX853018191639/2021,USA/OK-CDC-ASC210058889/2021,USA/AR-CDC-ASC210059502/2021,USA/WI-CDC-LC0051479/2021,USA/TN-CDC-ASC210051355/2021,USA/GA-CDC-STM-000067583/2021,USA/KY-CDC-ASC210058465/2021,USA/PR-CDC-QDX23270992/2021,USA/NV-CDC-ASC210060683/2021,USA/NM-CDC-LC0052826/2021,USA/OK-CDC-LC0043969/2021,USA/UT-CDC-ASC210059066/2021,USA/TX-CDC-QDX24326004/2021,USA/AL-CDC-ASC210057716/2021,USA/MD-CDC-ASC210060060/2021,USA/AL-CDC-ASC210031226/2021,USA/AL-CDC-LC0055285/2021,USA/MS-CDC-ASC210057661/2021,USA/KS-CDC-ASC210057678/2021,USA/AL-CDC-ASC210058041/2021,USA/IA-CDC-ASC210059797/2021,USA/DC-CDC-LC0054230/2021,USA/AR-CDC-ASC210057849/2021,USA/OK-CDC-LC0043839/2021,USA/AL-CDC-ASC210054768/2021,USA/AL-CDC-ASC210021295/2021,USA/AL-CDC-ASC210022701/2021,USA/NV-CDC-LC0039183/2021,USA/TN-CDC-ASC210035993/2021,USA/KS-CDC-LC0052542/2021,USA/MO-CDC-ASC210059097/2021,USA/MO-CDC-ASC210037765/2021,USA/MO-CDC-FG-034038/2021,USA/CA-CDC-FG-019218/2021,USA/SC-CDC-ASC210060354/2021,USA/MS-CDC-ASC210059265/2021,USA/MS-CDC-ASC210059058/2021,USA/PA-CDC-LC0041847/2021
Belén Prado-Vivar et al	17	unknown	unknown	unknown	Ecuador/USFQ-1291/2021,Ecuador/USFQ-026/2020,Ecuador/USFQ-563/2020,Ecuador/USFQ-126/2020,Ecuador/USFQ-1080/2021,Ecuador/USFQ-1056/2021,Ecuador/USFQ-ECU1044/2021,Ecuador/USFQ-731/2021,Ecuador/USFQ-732/2021,Ecuador/USFQ-726/2021,Ecuador/USFQ-733/2021,Ecuador/USFQ-066/2020,Ecuador/USFQ-226/2020,Ecuador/USFQ-715/2021,Ecuador/USFQ-712/2021,Ecuador/USFQ-721/2021,Ecuador/USFQ-736/2021
Monica Becerra-Wong et al	3	unknown	unknown	unknown	Ecuador/USFQ-1316/2021,Ecuador/USFQ-1326/2021,Ecuador/USFQ-1336/2021
Rachel Boyle et al	35	unknown	unknown	unknown	NewZealand/21MV0416/2021,NewZealand/21MV0277/2021,NewZealand/21MV0414/2021,NewZealand/21MV0261/2021,NewZealand/21MV0410/2021,NewZealand/21MV0343/2021,NewZealand/21MV0212/2021,NewZealand/21MV0159/2021,NewZealand/21MV0160/2021,NewZealand/21MV0180/2021,NewZealand/21CV0182/2021,NewZealand/21MV0115/2021,NewZealand/21MV0400/2021,NewZealand/21MV0167/2021,NewZealand/21MV0088/2021,NewZealand/21MV0107/2021,NewZealand/21MV0105/2021,NewZealand/21MV0062/2021,NewZealand/21MV0099/2021,NewZealand/21MV0097/2021,NewZealand/21MV0368/2021,NewZealand/21MV0409/2021,NewZealand/21MV0183/2021,NewZealand/21MV0190/2021,NewZealand/21MV0156/2021,NewZealand/21MV0262/2021,NewZealand/21MV0298/2021,NewZealand/21MV0308/2021,NewZealand/21MV0158/2021,NewZealand/21MV0153/2021,NewZealand/21MV0403/2021,NewZealand/21MV0243/2021,NewZealand/21MV0357/2021,NewZealand/21MV0335/2021,NewZealand/21MV0374/2021
Ben Huang et al A	1	Whole genome and phylogenetic analysis of two SARS-CoV-2 strains isolated in Italy in January and February 2020: additional clues on multiple introductions and further circulation in Europe	unknown	https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305	Australia/QLD03/2020
Ben Huang et al B	3	unknown	unknown	unknown	Australia/QLD02/2020,Australia/QLD01/2020,Australia/QLD04/2020
Parry et al	1	unknown	unknown	unknown	Australia/QLD02-2/2020
Morais J et al	28	unknown	unknown	unknown	Angola/KRISP-K009790/2021,Angola/KRISP-K011683/2021,Angola/KRISP-K011767/2021,Angola/KRISP-K009773/2021,Angola/KRISP-K009755/2021,Angola/KRISP-K010849/2021,Angola/KRISP-K009706/2020,Angola/KRISP-K011703/2020,Angola/KRISP-K011705/2020,Angola/KRISP-K009776/2020,Angola/KRISP-K009783/2020,Angola/KRISP-K009771/2021,Angola/KRISP-K011697/2021,Angola/KRISP-K011737/2021,Angola/KRISP-K009797/2021,Angola/KRISP-K011699/2021,Angola/KRISP-K011725/2021,Angola/KRISP-K011721/2021,Angola/KRISP-K011739/2021,Angola/KRISP-K011750/2021,Angola/KRISP-K011733/2021,Angola/KRISP-K009711/2021,Angola/KRISP-K009723/2021,Angola/KRISP-K011691/2021,Angola/KRISP-K011747/2021,Angola/KRISP-K009671/2021,Angola/KRISP-K010852/2021,Angola/KRISP-K009743/2021
Mirzakamol S Ayubov et al	4	unknown	unknown	unknown	Uzbekistan/Tashkent-CGB-25/2021,Uzbekistan/Tashkent-CGB-13/2020,Uzbekistan/Tashkent-CGB-12/2021,Uzbekistan/Tashkent-CGB-10/2020
Sokhoun Yann et al	11	unknown	unknown	unknown	Cambodia/139654/2020,Cambodia/VIR2107864/2021,Cambodia/VIR2107865/2021,Cambodia/VIR2123240/2021,Cambodia/VIR2118404/2021,Cambodia/316199/2021,Cambodia/299182/2021,Cambodia/C1983934/2021,Cambodia/284464/2021,Cambodia/263951/2021,Cambodia/265508/2021
Matthew Cotten et al	16	unknown	unknown	unknown	Uganda/UG118/2020,Uganda/UG220/2021,Uganda/UG268/2020,Uganda/UG225/2021,Uganda/UG226/2021,Uganda/UG210/2020,Uganda/UG270/2020,Uganda/UG218/2021,Uganda/UG181/2020,Uganda/UG219/2021,Uganda/UG055/2020,Uganda/UG403/2021,Uganda/UG468/2021,Uganda/UG469/2021,Uganda/UG467/2021,Uganda/UG470/2021
Placide Mbala-Kingebeni et al A	26	unknown	unknown	unknown	DRC/214214/2021,DRC/7174/2021,DRC/6769/2021,DRC/9523/2021,Cameroon/CAM-01/2021,Cameroon/CAM077/2021,DRC/3937/2020,DRC/5186/2020,DRC/10242/2020,DRC/6743/2020,Cameroon/CAM-20/2021,Cameroon/CAM-42/2021,DRC/299174/2021,DRC/16313/2021,DRC/16344/2021,DRC/16353/2021,Cameroon/CAM089/2021,DRC/827/2021,DRC/254881/2021,DRC/298978/2021,DRC/KCTCOV006/2021,DRC/146998/2021,DRC/867/2021,DRC/254728/2021,DRC/216884/2021,Cameroon/CAM-36/2021
Nguyen Van Vinh Chau et al	2	unknown	unknown	unknown	Vietnam/HCMC-05042-02/2021,Vietnam/HCMC-05040-01/2021
Buss et al	5	unknown	unknown	unknown	Canada/ABPHL-12727/2021,Canada/ABPHL-10863/2021,Canada/ABPHL-11108/2021,Canada/ABPHL-10927/2021,Canada/AB-ABPHL-05770/2021
Savannah Mwesigwa et al	5	unknown	unknown	unknown	Uganda/MAKCHScov26/2021,Uganda/MAKCHScov11/2021,Uganda/MAKCHScov25/2021,Uganda/MAKCHScov7/2021,Uganda/MAKCHScov8/2021
Enatha Mukantwari et al	2	unknown	unknown	unknown	Rwanda/BH74409RD/2021,Rwanda/AF37991-RD/2020
Yvan Butera et al	12	unknown	unknown	unknown	Rwanda/NRLNAT3043/2021,Rwanda/NRLNAT3034/2021,Rwanda/NRLNAT3042/2021,Rwanda/NRLNAT3045/2021,Rwanda/NRLNAT3075/2021,Rwanda/NRLNAT1072/2020,Rwanda/NRLNAT1036/2020,Rwanda/NRLNAT1045/2020,Rwanda/NRLNAT3066/2021,Rwanda/NRLNAT3063/2021,Rwanda/NRLNAT3065/2021,Rwanda/NRLNAT1087/2020
Mounerou SALOU et al	13	unknown	unknown	unknown	Togo/BMC-49989-20/2020,Togo/C5930/2021,Togo/C6636/2021,Togo/C6149/2021,Togo/C5951/2021,Togo/C6634/2021,Togo/C6365/2021,Togo/TGS16/2021,Togo/C6771/2021,Togo/BMC-50041-20/2020,Togo/C6849/2021,Togo/C6848/2021,Togo/C5894/2021
Abdoul-Salam Ouedraogo et al	8	unknown	unknown	unknown	BurkinaFaso/4307/2020,BurkinaFaso/3535/2020,BurkinaFaso/3953/2020,BurkinaFaso/4312/2020,BurkinaFaso/2-009/2020,BurkinaFaso/2-012/2020,BurkinaFaso/1174/2020,BurkinaFaso/595/2020
Chantal Akoua-Koffi et al	24	unknown	unknown	unknown	Coted-Ivoire/BKE-1979-bc76/2021,Coted-Ivoire/BKE-1984-bc88/2021,Coted-Ivoire/COV-BKE2497/bc92/2021,Coted-Ivoire/BKE1695-bc82/2021,Coted-Ivoire/COV-BKE1545/bc17/2021,Coted-Ivoire/BKE-1891-bc40/2021,Coted-Ivoire/BKE0172/2020,Coted-Ivoire/BKE0916/2020,Coted-Ivoire/COV-BKE2279/bc73/2021,Coted-Ivoire/BKE2222-bc57/2021,Coted-Ivoire/BKE-1985-bc5/2021,Coted-Ivoire/BKE0966-bc21/2020,Coted-Ivoire/BKE1693-bc95/2021,Coted-Ivoire/BKE1706-bc11/2021,Coted-Ivoire/BKE1864-bc34/2021,Coted-Ivoire/BKE1654-bc35/2021,Coted-Ivoire/BKE1696-bc70/2021,Coted-Ivoire/BKE1622-bc9/2021,Coted-Ivoire/COV-BKE2486/bc56/2021,Coted-Ivoire/BKE1650-bc59/2021,Coted-Ivoire/COV-BKE2513/bc69/2021,Coted-Ivoire/COV-BKE2334/bc7/2021,Coted-Ivoire/BKE2141-bc33/2021,Coted-Ivoire/COV-BKE2512/bc57/2021
Borges et al	15	unknown	unknown	unknown	Portugal/PT4350/2021,Portugal/PT3839/2021,Portugal/PT2831/2021,Portugal/PT3373/2021,Portugal/PT1585/2020,Portugal/PT1576/2020,Portugal/PT2921/2020,Portugal/PT7171/2021,Portugal/PT5311/2021,Portugal/PT3161/2021,Portugal/PT6832/2021,Portugal/PT5342/2021,Portugal/PT6218/2021,Portugal/PT4458/2021,Portugal/PT5397/2021
Kouriba et al	1	unknown	unknown	unknown	Mali/M002593/2020
Ndongo Dia et al	11	unknown	unknown	unknown	Senegal/1966/2020,Senegal/618/2020,Senegal/52357/2020,Senegal/57503/2020,Senegal/6934/2020,Senegal/83403/2020,Senegal/62872/2020,Senegal/5770/2020,Senegal/003/2020,Senegal/55703/2020,Senegal/45557/2020
Ngoi et al	2	unknown	unknown	unknown	Ghana/34927_S20/2020,Ghana/84162_S45/2020
Oluniyi P.E. et al A	1	SARS-CoV-2 Genomes from Nigeria Reveal Community Transmission, Multiple Virus Lineages and Spike Protein Mutation Associated with Higher Transmission and Pathogenicity	unknown	https://virological.org/t/sars-cov-2-genomes-from-nigeria-reveal-community-transmission-multiple-virus-lineages-and-spike-protein-mutation-associated-with-higher-transmission-and-pathogenicity/494	Nigeria/OS070-CV11/2020
Haruka Abe et al	3	unknown	unknown	unknown	Gabon/ITM-K011/2020,Gabon/ITM-K023/2020,Gabon/AP360/2020
